trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.9885069253253,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.59043191749308,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.98685993531859,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.51120992779994,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.05787818130758,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-192.13942106732168,"{0: 19, 1: 6, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.53432692648997,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.86702305316447,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.6996551746132,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.0742514045719,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.12893534300673,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.139411449051,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-277.918448195424,"{0: 11, 1: 7, 2: 7, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.23401666341005,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.68581639643085,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.49323559187107,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.35769948313583,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.93956482092854,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-206.00876015321137,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.63281063339826,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.33269075101555,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.84450330836572,"{0: 9, 1: 6, 2: 8, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-162.71302943040817,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-205.30412733472554,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.55245569647975,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-180.68584775627116,"{0: 6, 1: 2, 2: 10, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-279.7522091197968,"{0: 11, 1: 4, 2: 9, 3: 3, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-209.36391300164826,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-167.91136840693582,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.3942050199234,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
