trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-77.20809920005256,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-182.34843883522987,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,1,-59.40839165265939,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-61.80683561481366,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-63.08588952980107,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,3,-134.27297419215736,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,14,-4.457630295433246,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-22.060476623319715,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-33.605799827141034,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,3,-62.090462135351956,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-19.976447790068654,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,6,-21.14144814820694,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-91.31108267966283,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-167.82409483519749,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,4,-74.92782705165676,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,14,5.238206455586568,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,5,-65.24428918933091,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,28.95041595448433,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,17,-21.671109696965413,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,1.4652160418002946,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,7,26.369081725290688,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",25,20,6.474654150021673,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,13,-23.331838337015814,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",30,16,27.91227645713845,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,0,4.688804241081421,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",25,14,15.629745021010105,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",25,0,-18.888705772822888,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",30,0,19.393345255534708,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,30.110712226791424,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,1,13.08921926268198,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
