trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9910403787728836}",20,0,-90.64243726581395,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9821610323583008}",20,0,-99.47701907748156,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.9733612415243368}",25,0,-201.08886825846315,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.3, 'e': 0.9646402934831231}",20,0,-129.52955552933116,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.9559974818331}",30,6,-83.964130853245,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 1}",1
6,False,"{'a': 0.3, 'e': 0.9474321065017983}",20,0,-164.40230439642755,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.9389434736891332}",25,0,-34.93498720219028,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.9305308958112057}",30,0,-209.9752934325273,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 3}",0
9,False,"{'a': 0.3, 'e': 0.922193691444608}",30,0,-120.5551394905434,"{0: 21, 1: 1, 2: 4, 3: 3, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.9139311852712282}",30,0,-91.80767791108218,"{0: 19, 1: 4, 2: 4, 3: 3, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.9057427080235485}",30,0,-113.05128708557808,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.8976275964304349}",20,0,-92.77302260559038,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.8895851931634113}",20,0,-204.1017177591654,"{0: 7, 1: 4, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.3, 'e': 0.8816148467834161}",20,0,-53.58413369942209,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.8737159116880344}",25,0,-66.87108320421073,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.865887748059205}",25,0,-71.15410964264692,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.8581297218113938}",20,9,-42.38161241786399,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.3, 'e': 0.850441204540233}",30,0,-15.829898696342559,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.3, 'e': 0.8428215734716199}",25,0,-151.2380925997431,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.3, 'e': 0.835270211411272}",25,0,-62.34167620748658,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.3, 'e': 0.8277865066947336}",20,0,-83.95732834089281,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.3, 'e': 0.8203698531378311}",20,0,-17.875071092634315,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.3, 'e': 0.813019649987571}",25,0,-17.862070559417457,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.3, 'e': 0.8057353018734796}",20,2,-60.95107459893626,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
25,False,"{'a': 0.3, 'e': 0.7985162187593771}",30,0,-99.39277867897185,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.3, 'e': 0.7913618158955839}",20,0,-32.73868603148809,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 0.3, 'e': 0.7842715137715565}",20,15,-4.4173620400987215,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.3, 'e': 0.7772447380689461}",20,14,-0.4693271454203132,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.3, 'e': 0.7702809196150792}",30,8,-66.73219998066362,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
30,False,"{'a': 0.3, 'e': 0.7633794943368533}",20,10,1.954988597454285,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.3, 'e': 0.7565399032150474}",20,0,-181.60786484763656,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
32,False,"{'a': 0.3, 'e': 0.7497615922390413}",25,0,-55.59066739062758,"{0: 19, 1: 2, 2: 1, 3: 3, 4: 0}",0
33,False,"{'a': 0.3, 'e': 0.7430440123619398}",25,0,-55.884296294952314,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
34,False,"{'a': 0.3, 'e': 0.7363866194561001}",25,0,-99.63668331763584,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
35,False,"{'a': 0.3, 'e': 0.7297888742690568}",25,0,-68.45413972419993,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.3, 'e': 0.7232502423798425}",20,15,2.4037245826902707,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.716770194155699}",25,0,-160.33873019455325,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
38,False,"{'a': 0.3, 'e': 0.7103482047091773}",25,0,-44.200067919745756,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.3, 'e': 0.703983753855621}",20,4,-3.9474307064944414,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.3, 'e': 0.697676326071031}",25,10,-52.79872884323904,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
41,False,"{'a': 0.3, 'e': 0.6914254104503085}",25,0,-57.07560122873604,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
42,False,"{'a': 0.3, 'e': 0.6852305006658703}",30,11,-9.333495437708752,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.6790910949266369}",25,9,-73.41111632457256,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
44,False,"{'a': 0.3, 'e': 0.6730066959373865}",35,6,-93.89217096542582,"{0: 20, 1: 0, 2: 6, 3: 3, 4: 0}",1
45,False,"{'a': 0.3, 'e': 0.6669768108584744}",30,8,-29.707701534720574,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
46,False,"{'a': 0.3, 'e': 0.6610009512659125}",30,8,-62.920949799696245,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
47,False,"{'a': 0.3, 'e': 0.6550786331118063}",30,0,-42.916859599955316,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.3, 'e': 0.6492093766851474}",20,0,-64.78983498238695,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
49,False,"{'a': 0.3, 'e': 0.6433927065729562}",30,15,3.345445053908923,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.6376281516217733}",30,0,-128.3419750168497,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.3, 'e': 0.6319152448994959}",25,7,-20.39338089124862,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.3, 'e': 0.6262535236575559}",25,8,-115.51985530251775,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
53,False,"{'a': 0.3, 'e': 0.6206425292934373}",20,0,-46.67137088766545,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
54,False,"{'a': 0.3, 'e': 0.6150818073135287}",20,6,-24.80640979424186,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.3, 'e': 0.6095709072963094}",20,0,-57.41400882048576,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.3, 'e': 0.6041093828558647}",25,0,-48.96295247985671,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
57,False,"{'a': 0.3, 'e': 0.5986967916057292}",25,0,-63.14813382082103,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.3, 'e': 0.5933326951230521}",25,0,-106.94020859862225,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
59,False,"{'a': 0.3, 'e': 0.5880166589130854}",25,0,-67.94425298580776,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.3, 'e': 0.5827482523739898}",25,0,-12.078832182850599,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.3, 'e': 0.5775270487619547}",30,13,-20.80757278830204,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
62,False,"{'a': 0.3, 'e': 0.5723526251566333}",30,0,-163.32829799652444,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
